Positive,Negative,Neutral,adj_price,close_price
0.104,0.115,0.78,13968.049805,13968.049805
0.108,0.136,0.756,13974.30957,13974.30957
0.07,0.153,0.776,14066.009766,14066.009766
0.1,0.175,0.725,14058.583333666666,14058.583333666666
0.082,0.149,0.769,14051.156901333336,14051.156901333336
0.085,0.14,0.775,14043.730469,14043.730469
0.072,0.111,0.817,14164.530272999998,14164.530272999998
0.077,0.107,0.817,14078.69043,14078.69043
0.106,0.118,0.777,14015.120116999999,14015.120116999999
0.092,0.202,0.707,14093.080078,14093.080078
0.161,0.151,0.688,14056.986653666667,14056.986653666667
0.117,0.171,0.712,14020.893229333335,14020.893229333335
0.144,0.111,0.745,13984.799805,13984.799805
0.086,0.128,0.786,13912.94043,13912.94043
0.122,0.152,0.726,13892.540038999998,13892.540038999998
0.103,0.111,0.786,13888.959961000002,13888.959961000002
0.125,0.126,0.749,13522.019531,13522.019531
0.111,0.173,0.716,13537.002929666667,13537.002929666667
0.054,0.169,0.777,13551.986328333332,13551.986328333332
0.139,0.129,0.732,13566.969727000002,13566.969727000002
0.093,0.09,0.816,13676.230469,13676.230469
0.115,0.143,0.742,13675.25,13675.25
0.098,0.179,0.723,13671.919922,13671.919922
0.097,0.103,0.8,13806.700195,13806.700195
0.101,0.17,0.729,13827.886718666667,13827.886718666667
0.142,0.117,0.741,13849.073242333332,13849.073242333332
0.096,0.094,0.81,13870.259766,13870.259766
0.114,0.139,0.747,13792.469727000002,13792.469727000002
0.119,0.11,0.772,13930.009766,13930.009766
0.091,0.158,0.751,13567.870116999999,13567.870116999999
0.098,0.099,0.804,13595.099609,13595.099609
0.098,0.185,0.717,13577.866536333333,13577.866536333333
0.091,0.144,0.764,13560.633463666667,13560.633463666667
0.102,0.119,0.779,13543.400391,13543.400391
0.086,0.121,0.793,13660.94043,13660.94043
0.105,0.15,0.746,13300.019531,13300.019531
0.103,0.182,0.715,13266.290039,13266.290039
0.112,0.142,0.746,13042.740234,13042.740234
0.102,0.153,0.746,13024.343424333336,13024.343424333336
0.069,0.177,0.754,13005.946614666667,13005.946614666667
0.107,0.087,0.807,12987.549805,12987.549805
0.106,0.174,0.72,13307.089844,13307.089844
0.11,0.137,0.754,13231.009766,13231.009766
0.118,0.115,0.767,13110.049805,13110.049805
0.075,0.147,0.778,13176.790039,13176.790039
0.101,0.217,0.682,13104.006836,13104.006836
0.108,0.183,0.709,13031.223633,13031.223633
0.115,0.123,0.762,12958.44043,12958.44043
0.075,0.094,0.831,13010.139648,13010.139648
0.078,0.101,0.821,12799.040039,12799.040039
0.093,0.182,0.725,12889.959961,12889.959961
0.099,0.148,0.753,12980.879883,12980.879883
0.065,0.205,0.73,12901.733398666667,12901.733398666667
0.133,0.137,0.731,12822.586914333333,12822.586914333333
0.106,0.081,0.813,12743.44043,12743.44043
0.066,0.179,0.754,12958.44043,12958.44043
0.099,0.164,0.736,13289.450195,13289.450195
